phrase,site,timestamp,frequency
phrase_280,site_43,2008-11-18 07:52:22,20
phrase_271,site_6,2008-12-14 12:03:59,71
phrase_184,site_109,2008-11-18 21:27:12,54
phrase_65,site_26,2008-11-28 12:03:02,51
phrase_62,site_138,2008-09-17 13:18:25,38
phrase_147,site_196,2008-11-01 04:47:12,19
phrase_75,site_74,2008-11-10 05:09:25,3
phrase_436,site_186,2008-12-05 12:52:05,43
phrase_85,site_165,2008-10-25 00:08:50,91
phrase_343,site_142,2008-12-26 21:11:01,55
phrase_34,site_71,2008-11-13 09:34:35,88
phrase_173,site_177,2008-10-10 06:55:34,68
phrase_69,site_91,2008-09-11 06:46:15,12
phrase_168,site_75,2008-09-10 20:42:03,84
phrase_56,site_32,2008-11-06 23:28:46,45
phrase_325,site_85,2008-11-09 15:34:42,52
phrase_34,site_24,2008-10-01 05:47:36,39
phrase_16,site_101,2008-10-15 10:32:30,31
phrase_78,site_155,2008-10-29 10:49:18,45
phrase_290,site_67,2008-10-26 03:59:23,68
phrase_467,site_35,2008-12-21 20:24:33,4
phrase_261,site_49,2008-12-11 02:33:43,41
phrase_443,site_57,2008-09-28 04:28:19,50
phrase_293,site_20,2008-10-11 07:51:42,77
phrase_394,site_1,2008-10-21 04:05:45,73
phrase_214,site_3,2008-10-13 21:27:59,98
phrase_54,site_150,2008-11-16 23:08:31,79
phrase_441,site_199,2008-11-29 18:12:50,54
phrase_474,site_117,2008-11-16 01:41:07,8
phrase_35,site_28,2008-09-11 13:36:09,31
phrase_306,site_66,2008-12-11 22:40:59,89
phrase_154,site_107,2008-12-28 13:33:13,39
phrase_273,site_6,2008-09-24 10:10:41,12
phrase_275,site_103,2008-11-21 05:24:34,35
phrase_357,site_82,2008-11-02 15:36:37,32
phrase_438,site_50,2008-10-27 03:42:39,18
phrase_430,site_27,2008-09-29 16:47:40,41
phrase_250,site_72,2008-11-05 08:20:15,91
phrase_174,site_148,2008-11-01 01:29:22,47
phrase_469,site_137,2008-09-26 16:18:22,37
phrase_387,site_42,2008-12-27 00:17:19,12
phrase_436,site_111,2008-12-22 10:16:15,98
phrase_44,site_36,2008-09-03 15:01:56,5
phrase_343,site_109,2008-10-26 11:26:42,39
phrase_476,site_61,2008-10-09 09:38:30,7
phrase_428,site_156,2008-10-15 22:52:51,81
phrase_95,site_116,2008-10-25 16:36:30,59
phrase_203,site_193,2008-12-14 13:16:41,84
phrase_457,site_53,2008-09-21 12:35:39,37
phrase_12,site_63,2008-10-02 04:54:16,33
phrase_95,site_168,2008-10-05 23:51:27,82
phrase_492,site_55,2008-09-25 22:37:39,86
phrase_438,site_87,2008-10-13 23:00:43,53
phrase_125,site_3,2008-09-26 08:38:27,67
phrase_2,site_65,2008-10-09 08:22:48,91
phrase_318,site_127,2008-11-26 06:19:43,33
phrase_153,site_83,2008-12-14 08:00:52,52
phrase_486,site_114,2008-09-16 16:51:37,22
phrase_369,site_3,2008-12-07 21:06:57,23
phrase_151,site_13,2008-09-19 06:07:08,60
phrase_193,site_38,2008-09-27 14:33:52,4
phrase_311,site_51,2008-12-12 00:36:37,74
phrase_16,site_59,2008-10-14 13:10:19,90
phrase_210,site_121,2008-10-12 02:08:56,80
phrase_285,site_71,2008-11-13 16:00:44,21
phrase_235,site_59,2008-10-10 15:12:00,19
phrase_306,site_76,2008-12-01 15:44:37,33
phrase_376,site_24,2008-11-28 10:39:50,75
phrase_390,site_168,2008-11-09 14:56:59,14
phrase_129,site_153,2008-12-10 08:13:09,21
phrase_40,site_1,2008-12-29 10:21:58,96
phrase_97,site_179,2008-09-12 06:15:26,100
phrase_357,site_187,2008-11-06 00:17:50,50
phrase_237,site_193,2008-09-14 18:03:54,13
phrase_374,site_41,2008-10-31 22:33:27,2
phrase_271,site_10,2008-12-20 03:49:29,92
phrase_410,site_3,2008-11-27 15:37:27,11
phrase_345,site_59,2008-09-15 05:26:47,16
phrase_162,site_117,2008-10-09 03:42:22,13
phrase_386,site_95,2008-11-07 04:21:36,56
phrase_484,site_199,2008-10-26 14:24:25,82
phrase_477,site_121,2008-11-07 21:45:20,68
phrase_394,site_51,2008-10-17 14:43:21,75
phrase_27,site_125,2008-10-26 06:11:43,57
phrase_486,site_131,2008-12-23 09:41:44,6
phrase_9,site_173,2008-11-28 07:12:38,67
phrase_192,site_69,2008-11-06 06:01:09,2
phrase_146,site_53,2008-11-26 02:33:27,95
phrase_490,site_56,2008-12-22 23:38:16,71
phrase_228,site_160,2008-11-20 07:29:55,42
phrase_334,site_4,2008-09-25 02:12:18,56
phrase_216,site_59,2008-12-04 12:33:49,47
phrase_24,site_115,2008-11-07 16:02:53,14
phrase_144,site_148,2008-12-05 07:11:22,19
phrase_320,site_89,2008-11-24 14:49:40,62
phrase_396,site_17,2008-09-06 22:30:34,23
phrase_117,site_40,2008-11-03 00:34:26,9
phrase_31,site_4,2008-09-30 13:59:33,45
phrase_487,site_148,2008-09-27 11:17:25,94
phrase_286,site_177,2008-12-28 22:23:21,48
phrase_217,site_25,2008-10-05 21:39:49,89
phrase_403,site_132,2008-12-17 23:30:34,92
phrase_34,site_64,2008-12-08 01:46:38,77
phrase_456,site_198,2008-09-14 10:24:00,92
phrase_130,site_75,2008-12-16 00:37:04,6
phrase_230,site_32,2008-11-18 00:41:47,38
phrase_463,site_141,2008-11-22 10:19:13,13
phrase_277,site_131,2008-11-08 04:14:57,67
phrase_138,site_131,2008-12-24 14:58:04,15
phrase_495,site_56,2008-11-08 18:16:11,94
phrase_63,site_97,2008-09-18 01:36:53,82
phrase_55,site_131,2008-12-09 09:29:00,81
phrase_394,site_143,2008-12-26 20:02:54,57
phrase_131,site_70,2008-09-18 09:28:18,60
phrase_138,site_22,2008-12-28 05:23:33,17
phrase_432,site_54,2008-09-08 21:34:30,85
phrase_422,site_146,2008-09-28 22:19:34,35
phrase_411,site_9,2008-10-19 06:23:15,68
phrase_130,site_193,2008-12-04 07:32:14,94
phrase_15,site_94,2008-10-10 23:57:06,38
phrase_240,site_7,2008-10-24 00:46:06,70
phrase_85,site_107,2008-09-24 08:27:45,100
phrase_192,site_37,2008-12-07 14:29:31,48
phrase_124,site_35,2008-09-25 16:45:12,15
phrase_381,site_108,2008-10-22 05:52:07,11
phrase_450,site_55,2008-12-19 03:18:22,3
phrase_284,site_38,2008-10-18 17:33:45,70
phrase_394,site_151,2008-12-06 20:24:58,77
phrase_7,site_64,2008-10-25 17:10:25,81
phrase_44,site_82,2008-12-26 19:59:03,35
phrase_490,site_153,2008-10-13 16:58:53,4
phrase_230,site_199,2008-12-26 20:16:51,96
phrase_87,site_168,2008-09-09 01:16:52,36
phrase_14,site_140,2008-12-06 19:47:56,55
phrase_407,site_46,2008-10-20 19:40:30,24
phrase_27,site_101,2008-09-18 02:59:17,47
phrase_21,site_10,2008-12-20 16:05:29,91
phrase_205,site_166,2008-11-27 07:24:57,81
phrase_17,site_167,2008-09-07 23:57:41,15
phrase_104,site_197,2008-12-27 12:39:26,46
phrase_395,site_4,2008-10-31 08:14:03,61
phrase_142,site_53,2008-11-21 19:49:08,29
phrase_103,site_2,2008-12-12 21:59:35,30
phrase_86,site_35,2008-10-14 04:24:20,80
phrase_42,site_48,2008-09-29 19:04:50,62
phrase_179,site_167,2008-12-20 01:20:05,43
phrase_214,site_30,2008-10-16 22:36:16,81
phrase_11,site_177,2008-12-07 18:53:08,66
phrase_251,site_125,2008-10-19 07:54:00,27
phrase_334,site_33,2008-10-02 05:17:16,18
phrase_477,site_85,2008-12-23 04:32:30,92
phrase_17,site_99,2008-10-27 16:51:21,73
phrase_307,site_86,2008-12-18 22:26:51,98
phrase_411,site_178,2008-09-24 11:54:17,42
phrase_79,site_9,2008-11-13 19:44:29,58
phrase_306,site_36,2008-11-21 01:41:14,26
phrase_175,site_141,2008-10-19 06:56:08,66
phrase_99,site_80,2008-10-19 13:53:23,48
phrase_135,site_182,2008-11-24 04:24:23,14
phrase_49,site_42,2008-11-28 04:08:06,92
phrase_428,site_51,2008-09-28 01:25:10,17
phrase_259,site_48,2008-10-28 12:39:46,37
phrase_304,site_84,2008-10-20 00:01:17,20
phrase_8,site_70,2008-12-20 13:54:45,92
phrase_301,site_182,2008-11-10 22:21:32,38
phrase_127,site_193,2008-10-18 10:47:59,49
phrase_169,site_88,2008-09-30 01:30:47,3
phrase_489,site_187,2008-11-08 02:55:00,62
phrase_85,site_83,2008-12-06 07:35:09,64
phrase_293,site_99,2008-09-03 04:22:04,71
phrase_127,site_172,2008-11-16 16:44:21,31
phrase_385,site_143,2008-10-21 03:23:52,72
phrase_264,site_140,2008-11-01 21:56:28,36
phrase_313,site_42,2008-10-27 08:05:26,40
phrase_233,site_43,2008-11-12 18:16:33,78
phrase_466,site_37,2008-12-26 02:26:58,30
phrase_77,site_160,2008-09-08 20:50:05,38
phrase_402,site_111,2008-11-02 22:51:39,66
phrase_472,site_146,2008-09-15 11:21:52,36
phrase_409,site_51,2008-09-20 01:02:33,52
phrase_278,site_85,2008-09-10 06:59:31,36
phrase_374,site_84,2008-10-23 07:17:09,88
phrase_325,site_194,2008-10-28 13:43:17,8
phrase_287,site_159,2008-09-02 05:15:54,83
phrase_182,site_7,2008-10-12 13:47:49,19
phrase_81,site_159,2008-12-20 03:42:14,60
phrase_84,site_184,2008-11-15 07:28:53,97
phrase_251,site_46,2008-10-09 07:02:21,85
phrase_458,site_71,2008-10-08 12:52:18,68
phrase_418,site_184,2008-11-06 02:51:38,84
phrase_190,site_42,2008-09-20 05:16:21,21
phrase_298,site_186,2008-10-26 06:35:38,5
phrase_309,site_137,2008-11-15 13:20:22,97
phrase_21,site_20,2008-09-28 12:26:48,6
phrase_98,site_66,2008-09-11 17:15:04,59
phrase_105,site_119,2008-10-13 18:16:51,40
phrase_292,site_128,2008-09-08 07:40:31,9
phrase_176,site_182,2008-11-22 08:45:55,20
phrase_467,site_162,2008-12-25 12:32:01,27
phrase_32,site_129,2008-10-09 20:21:18,86
phrase_413,site_177,2008-12-26 18:02:08,48
phrase_135,site_54,2008-09-27 10:16:13,8
phrase_272,site_89,2008-12-11 18:10:49,90
phrase_201,site_20,2008-10-10 03:50:05,84
phrase_175,site_199,2008-09-15 02:53:09,26
phrase_89,site_131,2008-10-28 18:10:30,76
phrase_222,site_130,2008-12-13 23:36:27,8
phrase_170,site_54,2008-10-24 15:29:33,20
phrase_92,site_22,2008-11-25 23:42:51,49
phrase_456,site_112,2008-11-30 06:09:27,6
phrase_328,site_3,2008-11-21 16:13:54,44
phrase_16,site_70,2008-10-27 12:54:44,22
phrase_378,site_197,2008-11-02 20:31:54,53
phrase_331,site_139,2008-12-30 14:56:25,29
phrase_163,site_116,2008-12-27 19:29:54,14
phrase_439,site_76,2008-11-29 14:15:25,40
phrase_96,site_62,2008-12-22 20:56:50,65
phrase_331,site_200,2008-09-13 03:21:49,77
phrase_229,site_7,2008-10-16 10:13:58,38
phrase_438,site_179,2008-11-03 14:20:22,70
phrase_431,site_37,2008-12-28 08:16:19,81
phrase_193,site_116,2008-10-22 16:00:45,77
phrase_19,site_43,2008-12-26 15:41:48,30
phrase_407,site_22,2008-10-08 07:10:33,88
phrase_422,site_95,2008-11-21 23:56:43,51
phrase_167,site_68,2008-09-27 07:46:28,100
phrase_479,site_77,2008-09-26 11:20:43,6
phrase_258,site_197,2008-11-16 15:34:16,93
phrase_251,site_128,2008-12-15 08:56:25,82
phrase_44,site_198,2008-09-13 00:44:21,12
phrase_495,site_185,2008-10-17 08:00:55,92
phrase_67,site_25,2008-10-31 13:08:45,96
phrase_242,site_27,2008-12-16 16:47:17,37
phrase_343,site_83,2008-09-25 23:09:15,18
phrase_253,site_179,2008-09-01 03:23:32,59
phrase_421,site_109,2008-10-14 17:36:56,35
phrase_241,site_70,2008-12-29 23:41:14,94
phrase_16,site_123,2008-09-03 23:16:28,100
phrase_264,site_106,2008-11-15 13:44:04,47
phrase_159,site_51,2008-12-27 21:17:48,79
phrase_168,site_150,2008-10-31 12:43:22,7
phrase_61,site_132,2008-10-02 17:58:37,81
phrase_305,site_16,2008-12-15 01:26:41,69
phrase_70,site_96,2008-11-10 00:31:56,8
phrase_261,site_13,2008-12-11 18:52:30,25
phrase_167,site_179,2008-09-18 22:21:05,59
phrase_150,site_186,2008-10-10 21:35:10,10
phrase_476,site_179,2008-12-21 09:18:06,42
phrase_353,site_150,2008-11-03 11:36:39,2
phrase_271,site_27,2008-10-08 05:27:48,79
phrase_221,site_116,2008-09-20 20:32:13,60
phrase_171,site_154,2008-09-14 00:16:17,87
phrase_7,site_46,2008-10-30 19:02:58,8
phrase_177,site_173,2008-10-29 11:14:51,48
phrase_306,site_122,2008-11-22 05:28:04,9
phrase_12,site_139,2008-11-14 09:17:07,16
phrase_466,site_149,2008-11-08 20:51:09,23
phrase_216,site_132,2008-10-29 03:20:28,45
phrase_74,site_46,2008-10-15 00:07:14,67
phrase_236,site_143,2008-12-16 04:12:39,65
phrase_178,site_56,2008-09-19 03:19:06,3
phrase_290,site_126,2008-12-12 17:46:01,99
phrase_116,site_139,2008-10-05 09:17:12,27
phrase_47,site_124,2008-09-12 05:43:21,7
phrase_269,site_99,2008-12-24 20:09:21,27
phrase_466,site_61,2008-11-26 10:05:41,60
phrase_303,site_51,2008-11-25 16:54:13,75
phrase_393,site_6,2008-10-16 09:50:18,86
phrase_121,site_146,2008-12-25 23:04:10,54
phrase_24,site_77,2008-12-14 18:35:38,56
phrase_251,site_196,2008-11-29 16:30:36,95
phrase_200,site_161,2008-09-29 07:09:15,34
phrase_54,site_75,2008-11-16 04:36:46,29
phrase_497,site_119,2008-12-18 05:32:32,76
phrase_169,site_7,2008-09-19 17:26:19,68
phrase_198,site_30,2008-11-25 15:14:16,88
phrase_490,site_8,2008-12-24 22:11:59,72
phrase_57,site_89,2008-10-09 04:24:35,73
phrase_226,site_16,2008-10-18 11:34:31,75
phrase_324,site_77,2008-11-20 11:16:48,91
phrase_311,site_42,2008-10-14 13:43:27,59
phrase_148,site_161,2008-10-09 01:47:48,52
phrase_120,site_187,2008-09-27 16:18:18,43
phrase_218,site_62,2008-10-05 16:25:25,18
phrase_75,site_156,2008-12-22 09:03:31,2
phrase_252,site_185,2008-11-08 04:31:27,78
phrase_57,site_193,2008-10-16 13:54:19,1
phrase_195,site_43,2008-11-28 21:13:52,96
phrase_129,site_42,2008-09-18 00:26:16,4
phrase_58,site_108,2008-09-24 17:06:30,66
phrase_28,site_97,2008-09-22 20:43:52,25
phrase_317,site_185,2008-09-03 11:06:58,5
phrase_219,site_22,2008-12-27 06:21:57,83
phrase_129,site_194,2008-12-25 11:45:12,56
phrase_88,site_65,2008-12-24 13:29:32,7
phrase_60,site_169,2008-09-25 23:35:59,47
phrase_198,site_37,2008-11-18 04:22:47,47
phrase_95,site_133,2008-12-07 20:53:52,84
phrase_473,site_94,2008-10-22 15:35:15,64
phrase_180,site_57,2008-12-29 19:59:57,92
phrase_316,site_75,2008-12-15 03:11:53,8
phrase_361,site_41,2008-10-27 13:42:35,58
phrase_358,site_186,2008-09-28 19:19:54,71
phrase_435,site_157,2008-12-29 11:13:16,16
phrase_245,site_135,2008-09-14 05:00:02,31
phrase_439,site_147,2008-12-01 03:58:54,4
phrase_246,site_128,2008-12-08 10:20:34,95
phrase_381,site_34,2008-09-04 21:33:21,51
phrase_70,site_35,2008-12-29 23:54:37,50
phrase_137,site_107,2008-09-27 15:37:34,35
phrase_91,site_110,2008-10-04 23:30:59,71
phrase_66,site_64,2008-09-07 07:12:09,33
phrase_147,site_124,2008-11-28 06:14:33,8
phrase_99,site_80,2008-11-25 04:22:48,87
phrase_311,site_23,2008-09-14 15:27:16,31
phrase_257,site_150,2008-10-18 11:35:57,16
phrase_122,site_107,2008-10-22 18:24:25,97
phrase_164,site_52,2008-11-04 15:06:44,99
phrase_139,site_89,2008-11-05 21:28:58,58
phrase_299,site_132,2008-09-23 00:41:43,3
phrase_49,site_79,2008-09-24 10:48:36,75
phrase_491,site_70,2008-10-30 19:54:03,31
phrase_193,site_95,2008-09-27 08:36:15,21
phrase_166,site_49,2008-09-21 05:01:17,93
phrase_126,site_143,2008-12-18 00:13:27,32
phrase_34,site_79,2008-11-19 20:49:15,67
phrase_52,site_137,2008-11-17 19:07:09,16
phrase_381,site_194,2008-10-16 13:51:21,75
phrase_472,site_198,2008-10-29 23:34:52,72
phrase_189,site_7,2008-10-24 14:37:08,93
phrase_255,site_124,2008-11-21 03:49:00,45
phrase_149,site_19,2008-10-24 04:45:19,88
phrase_157,site_183,2008-09-27 22:03:34,81
phrase_154,site_165,2008-11-11 09:12:36,43
phrase_401,site_186,2008-10-23 06:16:26,92
phrase_267,site_76,2008-10-11 19:00:42,80
phrase_494,site_74,2008-10-30 23:22:30,5
phrase_194,site_108,2008-09-22 13:57:51,57
phrase_241,site_36,2008-11-29 08:57:56,84
phrase_219,site_65,2008-09-16 22:54:05,57
phrase_197,site_71,2008-10-06 12:24:31,75
phrase_500,site_188,2008-10-06 12:15:20,22
phrase_121,site_107,2008-11-18 07:40:59,35
phrase_171,site_94,2008-10-12 23:43:07,7
phrase_493,site_72,2008-12-10 13:31:24,10
phrase_232,site_49,2008-09-18 20:50:57,50
phrase_152,site_97,2008-11-30 20:54:13,100
phrase_213,site_18,2008-09-15 14:12:48,33
phrase_399,site_45,2008-12-12 07:24:21,93
phrase_322,site_138,2008-11-30 03:14:34,4
phrase_454,site_24,2008-11-19 19:49:35,50
phrase_400,site_44,2008-09-03 18:19:08,51
phrase_499,site_164,2008-12-10 13:59:26,34
phrase_424,site_72,2008-12-13 05:08:25,35
phrase_309,site_22,2008-10-18 22:31:08,46
phrase_45,site_90,2008-11-28 05:59:34,51
phrase_291,site_99,2008-11-17 11:29:02,88
phrase_70,site_164,2008-11-04 06:20:23,71
phrase_248,site_59,2008-12-30 17:04:50,20
phrase_60,site_173,2008-09-20 10:08:40,69
phrase_418,site_10,2008-10-08 00:27:25,88
phrase_487,site_129,2008-09-25 20:28:52,40
phrase_156,site_196,2008-09-14 05:06:40,51
phrase_400,site_132,2008-12-27 14:28:36,97
phrase_144,site_111,2008-09-02 01:41:02,92
phrase_29,site_25,2008-10-24 06:35:58,6
phrase_196,site_105,2008-12-23 12:39:44,25
phrase_248,site_181,2008-10-08 13:56:00,61
phrase_399,site_171,2008-11-22 03:47:44,77
phrase_76,site_86,2008-10-10 17:11:49,85
phrase_345,site_110,2008-10-10 03:31:10,59
phrase_17,site_80,2008-09-13 14:25:30,1
phrase_400,site_97,2008-12-29 08:02:18,26
phrase_194,site_177,2008-11-25 10:38:34,59
phrase_451,site_26,2008-11-20 09:22:42,45
phrase_276,site_194,2008-12-24 21:38:45,3
phrase_365,site_123,2008-11-17 10:01:50,29
phrase_446,site_104,2008-09-23 17:12:14,99
phrase_137,site_168,2008-09-16 08:59:51,72
phrase_80,site_27,2008-09-06 18:46:15,85
phrase_125,site_91,2008-10-12 00:26:41,24
phrase_89,site_158,2008-11-02 08:08:17,26
phrase_285,site_147,2008-11-30 10:57:55,61
phrase_259,site_110,2008-12-06 17:29:03,37
phrase_263,site_173,2008-10-28 06:39:01,59
phrase_5,site_171,2008-11-13 23:54:37,17
phrase_499,site_76,2008-11-16 18:25:12,18
phrase_384,site_115,2008-09-05 01:16:57,36
phrase_239,site_50,2008-11-15 03:57:48,84
phrase_72,site_57,2008-10-06 04:22:19,68
phrase_339,site_188,2008-09-21 06:46:35,8
phrase_475,site_113,2008-12-21 16:54:45,41
phrase_361,site_12,2008-12-22 21:25:21,90
phrase_75,site_154,2008-12-25 16:53:00,78
phrase_238,site_83,2008-11-01 19:33:12,63
phrase_119,site_124,2008-11-01 01:39:32,30
phrase_436,site_199,2008-10-27 13:55:25,48
phrase_461,site_99,2008-12-06 19:48:56,29
phrase_102,site_33,2008-10-19 14:01:25,7
phrase_69,site_42,2008-11-13 14:36:10,90
phrase_427,site_128,2008-12-15 19:08:58,59
phrase_159,site_33,2008-11-23 06:04:08,23
phrase_176,site_116,2008-11-28 16:17:43,52
phrase_153,site_91,2008-09-18 12:11:26,46
phrase_246,site_135,2008-12-20 15:41:11,93
phrase_171,site_176,2008-10-13 13:31:39,1
phrase_466,site_40,2008-11-09 23:26:16,46
phrase_268,site_120,2008-11-12 06:57:34,52
phrase_175,site_108,2008-12-23 18:53:59,26
phrase_49,site_49,2008-12-28 17:32:31,62
phrase_97,site_63,2008-12-05 01:19:56,1
phrase_302,site_189,2008-09-01 11:45:32,22
phrase_358,site_180,2008-09-20 11:06:22,51
phrase_285,site_187,2008-09-29 21:34:24,1
phrase_436,site_135,2008-11-18 16:07:20,57
phrase_255,site_174,2008-12-28 18:35:35,88
phrase_150,site_33,2008-10-02 04:50:51,62
phrase_130,site_131,2008-12-22 02:20:07,62
phrase_326,site_41,2008-11-01 20:59:39,63
phrase_82,site_184,2008-10-01 14:28:33,55
phrase_445,site_72,2008-09-25 16:38:09,10
phrase_19,site_124,2008-09-27 01:55:58,84
phrase_467,site_100,2008-12-22 21:16:33,62
phrase_302,site_147,2008-10-05 15:37:41,47
phrase_427,site_83,2008-09-10 00:40:20,39
phrase_32,site_197,2008-12-26 08:24:46,23
phrase_377,site_154,2008-09-16 08:36:44,56
phrase_56,site_189,2008-10-06 06:50:38,70
phrase_226,site_18,2008-09-10 11:15:36,90
phrase_457,site_51,2008-12-13 22:08:53,29
phrase_87,site_191,2008-09-08 04:56:29,31
phrase_373,site_81,2008-10-10 23:15:18,17
phrase_378,site_58,2008-09-15 21:23:31,1
phrase_41,site_15,2008-12-19 16:36:42,35
phrase_193,site_38,2008-11-16 15:57:51,11
phrase_43,site_144,2008-09-19 09:29:42,16
phrase_26,site_119,2008-10-26 12:55:08,85
phrase_492,site_195,2008-11-11 14:53:44,72
phrase_100,site_15,2008-09-20 20:11:00,15
phrase_347,site_26,2008-10-04 12:30:46,60
phrase_133,site_47,2008-09-03 08:33:56,46
phrase_455,site_24,2008-09-01 22:31:51,25
phrase_322,site_190,2008-09-09 18:13:14,64
phrase_393,site_154,2008-12-15 21:27:02,44
phrase_243,site_54,2008-09-06 04:05:17,97
phrase_123,site_195,2008-11-23 09:07:24,66
phrase_148,site_40,2008-10-31 04:36:15,10
phrase_281,site_200,2008-10-09 09:59:46,24
phrase_57,site_83,2008-10-22 20:45:54,32
phrase_210,site_64,2008-11-23 16:57:47,16
phrase_278,site_115,2008-11-09 00:41:49,32
phrase_54,site_45,2008-11-17 11:16:11,50
phrase_4,site_20,2008-10-18 20:33:34,86
phrase_55,site_81,2008-10-02 16:16:44,42
phrase_4,site_168,2008-09-28 15:41:44,19
phrase_137,site_85,2008-12-05 05:59:11,86
phrase_123,site_8,2008-09-03 09:20:02,77
phrase_29,site_160,2008-09-02 20:51:16,88
phrase_282,site_41,2008-10-19 08:31:27,51
phrase_275,site_8,2008-12-01 10:13:04,59
phrase_63,site_133,2008-10-18 17:21:00,36
phrase_132,site_101,2008-10-14 01:07:34,13
phrase_399,site_188,2008-12-10 21:15:30,70
phrase_448,site_89,2008-10-16 07:23:29,26
phrase_453,site_13,2008-12-06 16:23:59,37
phrase_445,site_102,2008-11-03 04:09:39,66
phrase_355,site_41,2008-12-28 22:46:16,88
phrase_70,site_42,2008-11-17 01:24:59,9
phrase_316,site_46,2008-09-07 21:12:12,67
phrase_32,site_32,2008-12-23 19:33:23,83
phrase_180,site_113,2008-09-17 17:26:02,2
phrase_1,site_104,2008-12-06 14:29:35,29
phrase_168,site_55,2008-10-09 05:08:18,92
phrase_101,site_32,2008-10-20 18:39:08,70
phrase_63,site_174,2008-11-11 17:22:40,78
phrase_414,site_160,2008-11-17 21:41:19,48
phrase_179,site_147,2008-12-09 00:52:51,99
phrase_270,site_84,2008-12-27 12:22:07,16
phrase_302,site_195,2008-10-02 01:24:23,64
phrase_114,site_55,2008-10-07 16:34:28,37
phrase_248,site_122,2008-10-19 06:19:04,46
phrase_58,site_54,2008-09-08 18:15:28,100
phrase_390,site_1,2008-11-09 13:50:31,30
phrase_451,site_175,2008-12-16 23:41:06,63
phrase_157,site_53,2008-12-28 09:03:28,31
phrase_394,site_178,2008-10-08 11:01:24,77
phrase_427,site_13,2008-11-28 18:04:38,78
phrase_338,site_33,2008-09-11 03:10:33,39
phrase_114,site_55,2008-09-16 16:28:28,5
phrase_440,site_46,2008-11-29 04:41:00,20
phrase_331,site_51,2008-09-06 05:03:38,54
phrase_94,site_9,2008-10-08 15:05:42,95
phrase_84,site_78,2008-10-09 11:15:06,52
phrase_255,site_175,2008-12-18 05:12:39,61
phrase_53,site_87,2008-12-15 05:26:52,9
phrase_302,site_114,2008-11-17 02:13:53,30
phrase_347,site_88,2008-09-25 07:48:05,99
phrase_490,site_94,2008-11-10 11:37:49,11
phrase_481,site_22,2008-12-14 04:29:34,46
phrase_118,site_139,2008-12-29 13:52:13,3
phrase_183,site_162,2008-12-21 02:38:15,54
phrase_357,site_152,2008-12-05 04:41:28,59
phrase_112,site_104,2008-09-16 02:25:41,9
phrase_329,site_37,2008-09-30 10:37:14,35
